section,base,grade,suffix_axis,count,pct_of_base_grade
stars,qot,e,other,30,24.00
stars,qot,o,e_grade,2,6.90
stars,qot,o,o_grade,15,51.72
stars,qot,o,aspect,4,13.79
stars,qot,o,other,8,27.59
stars,qot,eo,e_grade,3,16.67
stars,qot,eo,o_grade,5,27.78
stars,qot,eo,aspect,6,33.33
stars,qot,eo,clitic,1,5.56
stars,qot,eo,other,3,16.67
stars,ok,bare,e_grade,11,3.46
stars,ok,bare,o_grade,1,0.31
stars,ok,bare,aspect,1,0.31
stars,ok,bare,paradigm,174,54.72
stars,ok,bare,clitic,95,29.87
stars,ok,bare,other,36,11.32
stars,ok,e,e_grade,112,36.13
stars,ok,e,aspect,103,33.23
stars,ok,e,paradigm,1,0.32
stars,ok,e,clitic,10,3.23
stars,ok,e,other,84,27.10
stars,ok,o,e_grade,1,5.26
stars,ok,o,o_grade,11,57.89
stars,ok,o,aspect,1,5.26
stars,ok,o,other,6,31.58
stars,ok,eo,o_grade,15,55.56
stars,ok,eo,aspect,5,18.52
stars,ok,eo,other,7,25.93
stars,ot,bare,e_grade,31,8.61
stars,ot,bare,o_grade,1,0.28
stars,ot,bare,paradigm,148,41.11
stars,ot,bare,clitic,130,36.11
stars,ot,bare,other,50,13.89
stars,ot,e,e_grade,79,27.15
stars,ot,e,aspect,129,44.33
stars,ot,e,paradigm,4,1.37
stars,ot,e,clitic,7,2.41
stars,ot,e,other,72,24.74
stars,ot,o,e_grade,2,5.41
stars,ot,o,o_grade,18,48.65
stars,ot,o,aspect,5,13.51
stars,ot,o,other,12,32.43
stars,ot,eo,e_grade,5,13.89
stars,ot,eo,o_grade,14,38.89
stars,ot,eo,aspect,9,25.00
stars,ot,eo,other,8,22.22
unknown,sh,e,e_grade,1,100.00
unknown,ot,bare,other,1,100.00
