folio,section,pattern
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C0->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C2->C1->C2
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C1->C3->C1
f76r,balneo,C2->C0->C2
f76r,balneo,C2->C1->C2
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C2->C1
f76r,balneo,C2->C1->C2
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C1->C1
f76r,balneo,C1->C4->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C2->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C3->C1
f76v,balneo,C3->C1->C3
f76v,balneo,C1->C2->C1
f76v,balneo,C3->C3->C3
f76v,balneo,C0->C3->C0
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C3->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C4->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C3->C3->C3
f76v,balneo,C1->C0->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C2->C1->C2
f76v,balneo,C1->C2->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C2->C0->C2
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C4->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C2->C2->C2
f76v,balneo,C2->C0->C2
f76v,balneo,C1->C0->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f76v,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C0->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C3->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C0->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C0->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C3->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C2->C1
f77r,balneo,C1->C2->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C2->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C2->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77r,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C2->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C0->C1
f77v,balneo,C1->C2->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C2->C1
f77v,balneo,C1->C3->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C0->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C3->C1
f77v,balneo,C1->C3->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C0->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C4->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C2->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C1->C1->C1
f77v,balneo,C0->C1->C0
f77v,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C3->C1
f78r,balneo,C1->C0->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C3->C2->C3
f78r,balneo,C1->C1->C1
f78r,balneo,C2->C0->C2
f78r,balneo,C0->C2->C0
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C2->C1
f78r,balneo,C2->C1->C2
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C3->C1->C3
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C2->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C1->C1
f78r,balneo,C1->C2->C1
f78r,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C2->C1->C2
f78v,balneo,C1->C2->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C0->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C1->C3->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C2->C1->C2
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C2->C1->C2
f78v,balneo,C1->C3->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C2->C3->C2
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C2->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C1->C1
f78v,balneo,C1->C3->C1
f79r,balneo,C0->C1->C0
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C2->C1->C2
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C4->C1
f79r,balneo,C2->C2->C2
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C2->C3->C2
f79r,balneo,C1->C2->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C2->C4->C2
f79r,balneo,C1->C1->C1
f79r,balneo,C0->C1->C0
f79r,balneo,C1->C0->C1
f79r,balneo,C1->C2->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C4->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
f79r,balneo,C1->C1->C1
