folio,section,locus,length,trajectory,cell_path,token_path
f37r,herbal-A,"8,+P0",4,C0 -> C1 -> C2 -> C0,ch|o|other -> qok|bare|paradigm -> ot|bare|other -> sh|eo|o_grade,chorody qokaiin otalshor sheor
f37r,herbal-A,"9,+P0",3,C0 -> C0 -> C0,ch|bare|e_grade -> ch|bare|e_grade -> qot|o|other,qotchy chy qotordyotcho
f37v,herbal-A,"1,@P0",3,C0 -> C0 -> C0,sh|o|aspect -> qot|o|other -> ch|o|other,tshody qotoldy chopdain
f37v,herbal-A,"11,+P0",2,C0 -> C0,qot|o|other -> ch|o|other,qotoiin choror
f37v,herbal-A,"12,+P0",3,C0 -> C1 -> C2,ch|o|o_grade -> sh|bare|other -> sh|e|paradigm,chor shyly sheaiin
f37v,herbal-A,"16,+P0",2,C0 -> C0,qot|o|o_grade -> ch|o|other,qotor chotaiin
f37v,herbal-A,"3,+P0",3,C0 -> C0 -> C0,ch|o|other -> sh|bare|e_grade -> ch|o|other,qokchon shy chon
f37v,herbal-A,"4,+P0",2,C0 -> C0,sh|o|o_grade -> sh|o|o_grade,dshor dshor
f37v,herbal-A,"5,+P0",2,C0 -> C0,ch|o|o_grade -> qot|o|o_grade,dchor qotol
f37v,herbal-A,"8,+P0",3,C0 -> C0 -> C3,qot|o|o_grade -> ch|o|other -> ch|e|other,qotor choiin chetchy
f37v,herbal-A,"9,+P0",2,C0 -> C0,ch|o|o_grade -> sh|o|e_grade,chor sho
f38r,herbal-A,"1,@P0",4,C0 -> C0 -> C0 -> C2,ch|o|other -> ch|o|other -> sh|o|o_grade -> ok|bare|e_grade,chockhyoky choiin okshol oky
f38r,herbal-A,"2,+P0",4,C1 -> C0 -> C2 -> C2,sh|e|e_grade -> ch|o|other -> ot|bare|paradigm -> ot|bare|paradigm,okshey chodysytoiin otaiin otaiin
f38r,herbal-A,"3,+P0",4,C0 -> C2 -> C0 -> C0,qok|o|o_grade -> ok|bare|other -> ch|o|o_grade -> ch|o|other,qokor okaiinotaiin kchol chokokor
f38r,herbal-A,"4,+P0",3,C4 -> C2 -> C2,ch|e|e_grade -> ch|bare|other -> ch|bare|other,chey chckhchy chko
f38r,herbal-A,"6,+P0",3,C0 -> C0 -> C0,sh|o|e_grade -> ok|o|e_grade -> ch|o|other,sho okoy chochor
f38v,herbal-A,"1,@P0",5,C0 -> C0 -> C0 -> C3 -> C3,ch|o|other -> ch|o|o_grade -> sh|o|other -> ot|eo|o_grade -> ok|e|other,okchop chol shotol oteol okeea
f38v,herbal-A,"2,+P0",4,C0 -> C1 -> C0 -> C0,ch|o|other -> sh|e|e_grade -> sh|o|e_grade -> ch|o|o_grade,choiin shey sho chol
f38v,herbal-A,"3,+P0",2,C1 -> C1,qok|e|e_grade -> ok|e|e_grade,qokeey okey
f38v,herbal-A,"4,+P0",3,C1 -> C1 -> C0,ok|e|e_grade -> qok|e|e_grade -> ch|o|other,okeey qokeey chotey
f38v,herbal-A,"5,+P0",4,C0 -> C0 -> C3 -> C0,qot|bare|e_grade -> ch|o|o_grade -> ot|e|other -> ch|o|aspect,qoty chol oteeol chody
f38v,herbal-A,"8,+P0",3,C2 -> C2 -> C0,ch|bare|clitic -> ch|bare|other -> ch|o|other,char chshol chokaiin
f39r,herbal-A,"1,@P0",5,C2 -> C2 -> C1 -> C3 -> C1,ch|bare|other -> ch|bare|other -> sh|e|e_grade -> ch|e|other -> sh|e|e_grade,chshd chdain shey cheepaiin shey
f39r,herbal-A,"10,+P0",3,C1 -> C2 -> C1,sh|e|aspect -> ok|bare|paradigm -> sh|e|aspect,shedy okair shedy
f39r,herbal-A,"11,+P0",4,C1 -> C2 -> C1 -> C0,sh|bare|aspect -> ch|bare|aspect -> qok|bare|other -> ch|eo|o_grade,dshdy chdy qokaldar cheol
f39r,herbal-A,"12,+P0",4,C2 -> C2 -> C2 -> C3,ch|bare|other -> ch|bare|other -> ok|bare|e_grade -> ch|e|other,chckhy chls oky ches
f39r,herbal-A,"13,+P0",6,C2 -> C1 -> C1 -> C0 -> C0 -> C1,ch|bare|other -> sh|e|e_grade -> qok|bare|paradigm -> ch|o|o_grade -> sh|eo|other -> ot|e|aspect,chdar shey qokaiin chor sheolkedy otedy
f39r,herbal-A,"14,+P0",6,C1 -> C3 -> C1 -> C2 -> C2 -> C1,sh|bare|other -> ch|e|other -> ch|e|aspect -> ot|bare|clitic -> ch|bare|other -> qok|bare|clitic,shckhy chekl chedy otal chdam qokam
f39r,herbal-A,"16,+Pc",3,C3 -> C0 -> C1,ot|eo|o_grade -> ch|o|other -> qok|bare|clitic,oteol cholkal qokal
f39r,herbal-A,"2,+P0",5,C3 -> C1 -> C1 -> C2 -> C1,ch|e|other -> qok|e|aspect -> sh|e|other -> ch|bare|aspect -> sh|bare|other,cheky qokedy shekshey chdy shckhey
f39r,herbal-A,"3,+P0",5,C1 -> C3 -> C3 -> C1 -> C4,qok|bare|other -> ch|e|other -> ch|e|other -> qok|e|other -> ch|e|e_grade,qokalchdy chekaiin checkhy qokeedar cheey
f39r,herbal-A,"4,+P0",7,C1 -> C2 -> C1 -> C1 -> C0 -> C3 -> C2,ch|e|aspect -> ch|bare|aspect -> ch|e|aspect -> sh|bare|other -> ch|o|o_grade -> ch|e|other -> ok|bare|other,tchedy chdy chedy shckhdchy chol chees okalcheg
f39r,herbal-A,"5,+P0",2,C2 -> C2,ch|bare|aspect -> ch|bare|aspect,dchdy chdy
f39r,herbal-A,"6,+P0",4,C1 -> C1 -> C2 -> C1,sh|e|e_grade -> sh|e|aspect -> ch|bare|aspect -> sh|bare|other,she shedy kchdy shdalo
f39r,herbal-A,"7,+P0",6,C2 -> C1 -> C0 -> C1 -> C2 -> C2,ch|bare|other -> ch|e|aspect -> ch|o|other -> qok|e|other -> ch|bare|aspect -> ch|bare|other,dchdar chedy cholal qokedar chdy chckhdy
