from_cell,to_cell,allowed
ch|bare|o_grade,sh|bare|o_grade,0
ch|bare|o_grade,sh|bare|other,0
ch|bare|o_grade,sh|bare|paradigm,0
ch|bare|o_grade,sh|eo|aspect,0
ch|bare|o_grade,sh|eo|clitic,0
ch|bare|o_grade,sh|eo|e_grade,0
ch|bare|o_grade,sh|eo|o_grade,0
ch|bare|o_grade,sh|eo|other,1
ch|bare|o_grade,sh|e|aspect,0
ch|bare|o_grade,sh|e|clitic,0
ch|bare|o_grade,sh|e|e_grade,1
ch|bare|o_grade,sh|e|o_grade,0
ch|bare|o_grade,sh|e|other,0
ch|bare|o_grade,sh|e|paradigm,0
ch|bare|o_grade,sh|o|aspect,0
ch|bare|o_grade,sh|o|clitic,0
ch|bare|o_grade,sh|o|e_grade,0
ch|bare|o_grade,sh|o|o_grade,0
ch|bare|o_grade,sh|o|other,0
ch|bare|o_grade,sh|o|paradigm,0
ch|bare|other,ch|bare|aspect,1
ch|bare|other,ch|bare|clitic,1
ch|bare|other,ch|bare|e_grade,1
ch|bare|other,ch|bare|o_grade,0
ch|bare|other,ch|bare|other,1
ch|bare|other,ch|bare|paradigm,1
ch|bare|other,ch|eo|aspect,1
ch|bare|other,ch|eo|clitic,0
ch|bare|other,ch|eo|e_grade,0
ch|bare|other,ch|eo|o_grade,1
ch|bare|other,ch|eo|other,1
ch|bare|other,ch|eo|paradigm,0
ch|bare|other,ch|e|aspect,1
ch|bare|other,ch|e|clitic,1
ch|bare|other,ch|e|e_grade,1
ch|bare|other,ch|e|o_grade,0
ch|bare|other,ch|e|other,1
ch|bare|other,ch|e|paradigm,0
ch|bare|other,ch|o|aspect,1
ch|bare|other,ch|o|clitic,0
ch|bare|other,ch|o|e_grade,1
ch|bare|other,ch|o|o_grade,1
ch|bare|other,ch|o|other,1
ch|bare|other,ch|o|paradigm,1
ch|bare|other,ok|bare|aspect,0
ch|bare|other,ok|bare|clitic,1
ch|bare|other,ok|bare|e_grade,1
ch|bare|other,ok|bare|o_grade,0
ch|bare|other,ok|bare|other,1
ch|bare|other,ok|bare|paradigm,1
ch|bare|other,ok|eo|aspect,1
ch|bare|other,ok|eo|clitic,0
ch|bare|other,ok|eo|e_grade,0
ch|bare|other,ok|eo|o_grade,1
ch|bare|other,ok|eo|other,1
ch|bare|other,ok|eo|paradigm,0
ch|bare|other,ok|e|aspect,1
ch|bare|other,ok|e|clitic,1
ch|bare|other,ok|e|e_grade,1
ch|bare|other,ok|e|other,1
ch|bare|other,ok|e|paradigm,0
ch|bare|other,ok|o|aspect,0
ch|bare|other,ok|o|e_grade,0
ch|bare|other,ok|o|o_grade,1
ch|bare|other,ok|o|other,1
ch|bare|other,ok|o|paradigm,0
ch|bare|other,ot|bare|aspect,0
ch|bare|other,ot|bare|clitic,1
ch|bare|other,ot|bare|e_grade,1
ch|bare|other,ot|bare|o_grade,0
ch|bare|other,ot|bare|other,1
ch|bare|other,ot|bare|paradigm,1
ch|bare|other,ot|eo|aspect,1
ch|bare|other,ot|eo|clitic,0
ch|bare|other,ot|eo|e_grade,0
ch|bare|other,ot|eo|o_grade,1
ch|bare|other,ot|eo|other,1
ch|bare|other,ot|e|aspect,1
ch|bare|other,ot|e|clitic,0
ch|bare|other,ot|e|e_grade,1
ch|bare|other,ot|e|other,1
ch|bare|other,ot|e|paradigm,0
ch|bare|other,ot|o|aspect,0
ch|bare|other,ot|o|clitic,0
ch|bare|other,ot|o|e_grade,1
ch|bare|other,ot|o|o_grade,1
ch|bare|other,ot|o|other,1
ch|bare|other,ot|o|paradigm,0
ch|bare|other,qok|bare|aspect,1
ch|bare|other,qok|bare|clitic,1
ch|bare|other,qok|bare|e_grade,1
ch|bare|other,qok|bare|o_grade,0
ch|bare|other,qok|bare|other,1
ch|bare|other,qok|bare|paradigm,1
ch|bare|other,qok|eo|aspect,0
ch|bare|other,qok|eo|e_grade,0
ch|bare|other,qok|eo|o_grade,1
ch|bare|other,qok|eo|other,0
ch|bare|other,qok|e|aspect,1
ch|bare|other,qok|e|clitic,0
ch|bare|other,qok|e|e_grade,1
ch|bare|other,qok|e|o_grade,0
ch|bare|other,qok|e|other,1
ch|bare|other,qok|e|paradigm,0
ch|bare|other,qok|o|aspect,0
ch|bare|other,qok|o|e_grade,1
ch|bare|other,qok|o|o_grade,1
ch|bare|other,qok|o|other,1
ch|bare|other,qok|o|paradigm,0
ch|bare|other,qot|bare|clitic,1
ch|bare|other,qot|bare|e_grade,1
ch|bare|other,qot|bare|o_grade,0
ch|bare|other,qot|bare|other,1
ch|bare|other,qot|bare|paradigm,1
ch|bare|other,qot|eo|aspect,0
ch|bare|other,qot|eo|clitic,0
ch|bare|other,qot|eo|e_grade,0
ch|bare|other,qot|eo|o_grade,0
ch|bare|other,qot|eo|other,0
ch|bare|other,qot|e|aspect,1
ch|bare|other,qot|e|clitic,0
ch|bare|other,qot|e|e_grade,1
ch|bare|other,qot|e|other,1
ch|bare|other,qot|o|aspect,0
ch|bare|other,qot|o|e_grade,0
ch|bare|other,qot|o|o_grade,1
ch|bare|other,qot|o|other,1
ch|bare|other,sh|bare|aspect,0
ch|bare|other,sh|bare|clitic,1
ch|bare|other,sh|bare|e_grade,1
ch|bare|other,sh|bare|o_grade,0
ch|bare|other,sh|bare|other,1
ch|bare|other,sh|bare|paradigm,1
ch|bare|other,sh|eo|aspect,1
ch|bare|other,sh|eo|clitic,0
ch|bare|other,sh|eo|e_grade,1
ch|bare|other,sh|eo|o_grade,1
ch|bare|other,sh|eo|other,1
ch|bare|other,sh|e|aspect,1
ch|bare|other,sh|e|clitic,0
ch|bare|other,sh|e|e_grade,1
ch|bare|other,sh|e|o_grade,0
ch|bare|other,sh|e|other,1
