token,section,position,relative_position,prev_cell,next_cell,prev_comm,next_comm
dsheeos,pharm-herbal,0,0.0,,qok|eo|other,UNK,C0
dcheey,pharm-herbal,0,0.0,,sh|bare|e_grade,UNK,C0
dsho,pharm-herbal,0,0.0,,ch|o|aspect,UNK,C0
dchos,pharm-herbal,0,0.0,,ch|o|aspect,UNK,C0
dchog,pharm-herbal,2,0.67,ch|o|o_grade,ch|o|other,C0,C0
dcho,pharm-herbal,0,0.0,,ch|o|aspect,UNK,C0
dsheedy,pharm-herbal,2,0.67,ch|e|other,ot|bare|other,C3,C2
dchdy,pharm-herbal,0,0.0,,ot|bare|clitic,UNK,C2
dshedy,pharm-herbal,0,0.0,,ot|bare|clitic,UNK,C2
dchdy,pharm-herbal,2,0.29,sh|bare|e_grade,sh|e|aspect,C0,C1
dshey,pharm-herbal,0,0.0,,qok|bare|clitic,UNK,C1
dchody,pharm-herbal,0,0.0,,sh|eo|other,UNK,C0
dcheor,pharm-herbal,0,0.0,,ch|eo|o_grade,UNK,C0
dcheoteos,pharm-herbal,0,0.0,,ch|bare|other,UNK,C2
dsheos,pharm-herbal,0,0.0,,sh|e|e_grade,UNK,C1
dcheor,pharm-herbal,0,0.0,,ch|bare|o_grade,UNK,C2
dsheol,pharm-herbal,0,0.0,,ok|eo|o_grade,UNK,C0
dsholdyotchol,herbal-A,3,0.75,sh|o|o_grade,ot|bare|e_grade,C0,C2
dchydaiin,herbal-A,1,1.0,ch|o|other,,C0,UNK
dchor,herbal-A,0,0.0,,ch|bare|other,UNK,C2
