x,y,section,trajectory
6.36379,9.570314,stars,C0 -> C1 -> C1 -> C1 -> C2 -> C1 -> C1 -> C2 -> C0 -> C3
6.2999935,9.504798,stars,C3 -> C2 -> C0 -> C0 -> C0
6.3684545,9.526406,stars,C3 -> C0 -> C3 -> C1 -> C1 -> C0 -> C3 -> C0 -> C3
6.2849584,9.532789,stars,C0 -> C0 -> C1 -> C3 -> C3 -> C3 -> C3
-13.84477,14.038443,stars,C1 -> C3
6.1377416,9.491788,stars,C0 -> C0 -> C0 -> C3 -> C3 -> C1 -> C2 -> C2
6.109694,9.526553,stars,C1 -> C2 -> C2 -> C2 -> C1 -> C1
6.0760813,9.517497,stars,C4 -> C0 -> C2 -> C0 -> C2 -> C0 -> C1 -> C0
4.996851,9.637874,stars,C3 -> C1 -> C1 -> C0
6.250048,9.5246315,stars,C0 -> C2 -> C0 -> C0 -> C1 -> C0 -> C3 -> C0 -> C3
5.874394,9.521605,stars,C1 -> C0 -> C2 -> C1 -> C2 -> C2
6.1811204,9.593333,stars,C1 -> C1 -> C1 -> C1 -> C0 -> C0 -> C0 -> C2 -> C2
5.9587097,9.519775,stars,C1 -> C1 -> C0 -> C1 -> C0
6.0703654,9.589033,stars,C1 -> C0 -> C1 -> C2 -> C0 -> C4
5.874053,9.432364,stars,C4 -> C4 -> C0 -> C2 -> C2
5.758428,9.433017,stars,C0 -> C1 -> C3 -> C0 -> C3 -> C0 -> C1
5.917324,9.4920025,stars,C1 -> C1 -> C2 -> C4 -> C1
-12.6185055,-5.1226325,stars,C1 -> C0 -> C0
6.1749268,9.59845,stars,C0 -> C0 -> C0 -> C0 -> C1 -> C2 -> C0 -> C2
5.0152526,3.1557176,stars,C1 -> C0 -> C0 -> C0
5.67292,9.453593,stars,C4 -> C0 -> C1 -> C0 -> C2 -> C1 -> C3 -> C2
6.0226073,9.529871,stars,C0 -> C1 -> C1 -> C0 -> C0 -> C1 -> C1
5.7673306,9.406686,stars,C0 -> C0 -> C2 -> C1 -> C4
5.9287086,9.4637985,stars,C0 -> C0 -> C0 -> C1 -> C4
2.8164034,5.790647,stars,C1 -> C0 -> C3
5.839101,9.460174,stars,C3 -> C1 -> C4 -> C3
5.9171896,9.443344,stars,C1 -> C2 -> C0 -> C2 -> C0
5.7340374,9.401814,stars,C1 -> C3 -> C1 -> C1 -> C0 -> C1
1.5432801,-14.7179785,stars,C0 -> C1 -> C0
5.489295,3.6660655,stars,C1 -> C0 -> C1
5.849493,9.472753,stars,C3 -> C1 -> C0 -> C1 -> C1 -> C4 -> C3 -> C3 -> C2
5.39345,9.323921,stars,C2 -> C1 -> C4
5.843906,9.537169,stars,C1 -> C3 -> C0 -> C0 -> C3 -> C0 -> C4 -> C1 -> C1
30.28649,-0.36928707,stars,C1 -> C1 -> C1 -> C1
5.7280936,9.385718,stars,C1 -> C1 -> C3 -> C0 -> C1 -> C1 -> C2 -> C1
5.563397,9.363596,stars,C3 -> C1 -> C1 -> C1 -> C3 -> C1 -> C1
5.8603244,9.491479,stars,C4 -> C1 -> C4 -> C2
5.6481833,9.468491,stars,C3 -> C4 -> C1 -> C1 -> C1 -> C1
4.268592,8.455827,stars,C0 -> C2 -> C3
5.5329094,9.402134,stars,C0 -> C0 -> C0 -> C1 -> C1 -> C1 -> C1 -> C1 -> C1
5.651627,9.371792,stars,C4 -> C3 -> C1 -> C1 -> C1 -> C0
5.802698,9.436012,stars,C0 -> C1 -> C3 -> C0 -> C1 -> C1 -> C1
5.41983,9.383376,stars,C2 -> C1 -> C1 -> C0 -> C3 -> C2 -> C1 -> C0
4.954919,4.529037,stars,C2 -> C1 -> C1
2.8218622,5.802017,stars,C1 -> C0 -> C3
5.3561125,9.235435,stars,C1 -> C2 -> C4 -> C4
5.53457,9.504659,stars,C1 -> C1 -> C1 -> C1 -> C1 -> C0 -> C1 -> C2
5.304804,9.319358,stars,C1 -> C0 -> C1 -> C0
5.4130096,9.357965,stars,C1 -> C3 -> C3 -> C0
4.510001,3.6288857,stars,C3 -> C1
5.4063883,9.229792,stars,C3 -> C0 -> C1 -> C0 -> C1 -> C1
5.5582585,9.425345,stars,C0 -> C1 -> C1 -> C2 -> C1 -> C0 -> C1 -> C3 -> C2
5.345039,9.467623,stars,C3 -> C1 -> C1 -> C3
5.1906314,9.243199,stars,C1 -> C4 -> C2 -> C3 -> C4 -> C3 -> C0
5.1457324,9.27588,stars,C1 -> C1 -> C0 -> C0 -> C1 -> C2 -> C3
4.657551,5.1608777,stars,C3 -> C3
5.0499253,4.13673,stars,C1 -> C2 -> C0
-18.440266,-5.013455,stars,C0 -> C1
4.5058327,8.899216,stars,C1 -> C1 -> C2 -> C2 -> C1
-5.2407484,25.582987,stars,C0 -> C3
-10.551076,-14.924737,stars,C1 -> C1 -> C1
3.1580997,7.3007336,stars,C0 -> C2 -> C1
4.9831285,9.179734,stars,C0 -> C3 -> C1 -> C1 -> C1
23.83921,-11.045648,stars,C0 -> C0 -> C0
2.8204923,6.6381326,stars,C1 -> C2 -> C1 -> C1
5.131001,9.343984,stars,C3 -> C3 -> C2 -> C2 -> C1
5.1079693,9.22284,stars,C2 -> C1 -> C2 -> C1
5.3425374,9.276725,stars,C3 -> C2 -> C1 -> C2 -> C3 -> C2 -> C2
5.047432,9.184723,stars,C2 -> C3 -> C2 -> C2
5.2384133,5.7053094,stars,C2 -> C1 -> C2
4.3665137,8.513415,stars,C0 -> C2 -> C3
-12.618393,-5.122505,stars,C1 -> C0 -> C0
-10.569993,-14.935254,stars,C1 -> C1 -> C1
4.960717,9.168874,stars,C1 -> C1 -> C4 -> C1 -> C1 -> C1
5.0651975,9.194789,stars,C3 -> C1 -> C4
4.818347,9.095297,stars,C4 -> C2 -> C1
4.0160627,8.754452,stars,C2 -> C2 -> C1
3.0038698,5.7866306,stars,C0 -> C2 -> C2 -> C2
4.4359264,8.914379,stars,C2 -> C2 -> C3
5.3326497,5.6877666,stars,C2 -> C1 -> C2
6.879778,5.447173,stars,C2 -> C2 -> C2
4.9501996,9.109618,stars,C4 -> C2 -> C2 -> C2 -> C0 -> C2
4.2613745,8.801073,stars,C3 -> C2 -> C0
5.0239377,9.14714,stars,C2 -> C3 -> C3 -> C4
4.672844,9.040183,stars,C3 -> C2 -> C2 -> C2 -> C0 -> C0
4.7242613,9.005567,stars,C0 -> C3 -> C2 -> C0 -> C3
-14.012866,19.294193,stars,C1 -> C1 -> C0
4.6349273,9.052431,stars,C0 -> C3 -> C2 -> C4
4.6671033,8.96351,stars,C0 -> C3 -> C1 -> C0
4.5572014,8.970366,stars,C2 -> C2 -> C4
-14.108762,2.4522417,stars,C2 -> C0
4.465779,9.004957,stars,C1 -> C2 -> C2 -> C2 -> C3 -> C2
5.010021,7.0816607,stars,C0 -> C1 -> C2
1.3630044,27.959896,stars,C0 -> C0
4.958949,9.1392765,stars,C1 -> C2 -> C0 -> C0 -> C1 -> C1 -> C1
4.3703403,8.841079,stars,C1 -> C4 -> C0 -> C2 -> C2 -> C2 -> C1
6.8844085,5.46839,stars,C2 -> C2 -> C2
11.832122,23.492838,stars,C1 -> C1
4.851445,9.08788,stars,C3 -> C3 -> C2 -> C1 -> C1
4.3404274,8.848319,stars,C1 -> C2 -> C1 -> C2 -> C2 -> C3
4.7367225,8.977554,stars,C3 -> C1 -> C0 -> C1 -> C2
3.6393707,8.084911,stars,C0 -> C1 -> C2 -> C2 -> C2
4.821423,9.054459,stars,C0 -> C2 -> C0 -> C2 -> C1 -> C2
-18.426556,-5.0047054,stars,C0 -> C1
4.083881,8.617488,stars,C1 -> C2 -> C3
-13.427737,9.433488,stars,C1 -> C2
3.6942377,5.0262666,stars,C3 -> C1 -> C3
-16.888592,-18.00254,stars,C2 -> C2
4.444543,8.791699,stars,C2 -> C1 -> C4 -> C2
4.483992,8.905009,stars,C0 -> C2 -> C1 -> C1 -> C1 -> C1 -> C1
